Player,Pos,Age,Tm,G,PTS,TRB,AST,STL,BLK,FG%,3P%,2P%,FT%
Precious Achiuwa,C,23,TOR,55,9.2,6,0.9,0.6,0.5,0.485,0.269,0.564,0.702
Steven Adams,C,29,MEM,42,8.6,11.5,2.3,0.9,1.1,0.597,0,0.599,0.364
Bam Adebayo,C,25,MIA,75,20.4,9.2,3.2,1.2,0.8,0.54,0.083,0.545,0.806
Ochai Agbaji,SG,22,UTA,59,7.9,2.1,1.1,0.3,0.3,0.427,0.355,0.532,0.812
Santi Aldama,PF,22,MEM,77,9,4.8,1.3,0.6,0.6,0.47,0.353,0.591,0.75
Nickeil Alexander-Walker,SG,24,TOT,59,6.2,1.7,1.8,0.5,0.4,0.444,0.384,0.515,0.667
Nickeil Alexander-Walker,SG,24,UTA,36,6.3,1.6,2.1,0.7,0.4,0.488,0.402,0.578,0.692
Nickeil Alexander-Walker,SG,24,MIN,23,5.9,1.8,1.4,0.3,0.3,0.384,0.361,0.415,0.619
Grayson Allen,SG,27,MIL,72,10.4,3.3,2.3,0.9,0.2,0.44,0.399,0.518,0.905
Jarrett Allen,C,24,CLE,68,14.3,9.8,1.7,0.8,1.2,0.644,0.1,0.653,0.733
Jose Alvarado,PG,24,NOP,61,9,2.3,3,1.1,0.2,0.411,0.336,0.488,0.813
Kyle Anderson,PF,29,MIN,69,9.4,5.3,4.9,1.1,0.9,0.509,0.41,0.536,0.735
Giannis Antetokounmpo,PF,28,MIL,63,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.596,0.645
Thanasis Antetokounmpo,PF,30,MIL,37,1.4,1.2,0.4,0.1,0.1,0.435,0,0.526,0.5
Cole Anthony,PG,22,ORL,60,13,4.8,3.9,0.6,0.5,0.454,0.364,0.5,0.894
OG Anunoby,SF,25,TOR,67,16.8,5,2,1.9,0.7,0.476,0.387,0.539,0.838
Ryan Arcidiacono,PG,28,TOT,20,1.3,0.8,1.2,0.3,0,0.243,0.348,0.071,0
Ryan Arcidiacono,PG,28,NYK,11,0.3,0.4,0.2,0.2,0,0.2,0.333,0,0
Ryan Arcidiacono,PG,28,POR,9,2.6,1.2,2.3,0.3,0,0.25,0.35,0.083,0
Deni Avdija,SF,22,WAS,76,9.2,6.4,2.8,0.9,0.4,0.437,0.297,0.53,0.739
Deandre Ayton,C,24,PHO,67,18,10,1.7,0.6,0.8,0.589,0.292,0.597,0.76
Udoka Azubuike,C,23,UTA,36,3.5,3.3,0.3,0.2,0.4,0.819,0,0.819,0.35
Marvin Bagley III,C,23,DET,42,12,6.4,0.9,0.5,0.7,0.529,0.288,0.579,0.75
Patrick Baldwin Jr.,SF,20,GSW,31,3.9,1.3,0.4,0.2,0.1,0.394,0.381,0.44,0.667
LaMelo Ball,PG,21,CHO,36,23.3,6.4,8.4,1.3,0.3,0.411,0.376,0.45,0.836
Mo Bamba,C,24,TOT,49,6.6,4.6,0.9,0.3,0.9,0.485,0.387,0.59,0.661
Mo Bamba,C,24,ORL,40,7.3,4.6,1.1,0.3,1,0.495,0.398,0.594,0.686
Mo Bamba,C,24,LAL,9,3.7,4.6,0.4,0.1,0.6,0.407,0.313,0.545,0.545
Paolo Banchero,PF,20,ORL,72,20,6.9,3.7,0.8,0.5,0.427,0.298,0.471,0.738
Desmond Bane,SG,24,MEM,58,21.5,5,4.4,1,0.4,0.479,0.408,0.534,0.883
Dalano Banton,PG,23,TOR,31,4.6,1.5,1.2,0.4,0.4,0.423,0.294,0.506,0.708
Dominick Barlow,PF,19,SAS,28,3.9,3.6,0.9,0.4,0.7,0.535,0,0.561,0.72
Harrison Barnes,PF,30,SAC,82,15,4.5,1.6,0.7,0.1,0.473,0.374,0.553,0.847
Scottie Barnes,SF,21,TOR,77,15.3,6.6,4.8,1.1,0.8,0.456,0.281,0.505,0.772
RJ Barrett,SG,22,NYK,73,19.6,5,2.8,0.4,0.2,0.434,0.31,0.495,0.74
Will Barton,SG,32,TOT,56,6.8,2.4,2,0.5,0.2,0.379,0.367,0.391,0.787
Will Barton,SG,32,WAS,40,7.7,2.8,2.4,0.4,0.3,0.386,0.377,0.395,0.778
Will Barton,SG,32,TOR,16,4.5,1.6,1.1,0.7,0.2,0.354,0.333,0.378,1
Charles Bassey,C,22,SAS,35,5.7,5.5,1.3,0.5,0.9,0.644,0.375,0.661,0.595
Keita Bates-Diop,PF,27,SAS,67,9.7,3.7,1.5,0.7,0.3,0.508,0.394,0.557,0.793
Nicolas Batum,PF,34,LAC,78,6.1,3.8,1.6,0.7,0.6,0.42,0.391,0.563,0.708
Darius Bazley,C,22,TOT,43,5.2,3.2,0.9,0.5,0.8,0.454,0.377,0.485,0.543
Darius Bazley,C,22,OKC,36,5.4,3.4,0.9,0.5,0.8,0.449,0.4,0.469,0.554
Darius Bazley,C,22,PHO,7,4,2.3,0.9,0.4,0.7,0.48,0.25,0.588,0.4
Bradley Beal,SG,29,WAS,50,23.2,3.9,5.4,0.9,0.7,0.506,0.365,0.552,0.842
Malik Beasley,SG,26,TOT,81,12.7,3.5,1.5,0.8,0.1,0.395,0.357,0.484,0.769
Malik Beasley,SG,26,UTA,55,13.4,3.6,1.7,0.8,0.1,0.396,0.359,0.485,0.841
Malik Beasley,SG,26,LAL,26,11.1,3.3,1.2,0.8,0,0.392,0.353,0.481,0.619
MarJon Beauchamp,SF,22,MIL,52,5.1,2.2,0.7,0.4,0.1,0.395,0.331,0.485,0.73
D?vis Bertans,PF,30,DAL,45,4.6,1.2,0.5,0.2,0.2,0.431,0.39,0.737,0.867
Patrick Beverley,SG-PG,34,TOT,67,6.2,3.7,2.9,0.9,0.6,0.4,0.335,0.529,0.723
Patrick Beverley,SG,34,LAL,45,6.4,3.1,2.6,0.9,0.6,0.402,0.348,0.506,0.78
Patrick Beverley,PG,34,CHI,22,5.8,4.9,3.5,1,0.7,0.395,0.309,0.579,0.533
Saddiq Bey,SF,23,TOT,77,13.8,4.7,1.5,0.9,0.2,0.422,0.361,0.483,0.861
Saddiq Bey,SF,23,DET,52,14.8,4.7,1.6,1,0.2,0.404,0.345,0.46,0.861
Saddiq Bey,SF,23,ATL,25,11.6,4.8,1.4,0.8,0,0.47,0.4,0.552,0.862
Khem Birch,C,30,TOR,20,2.2,1.3,0.4,0.3,0.3,0.594,0.5,0.6,0.8
Goga Bitadze,C,23,TOT,38,4.4,3.6,1,0.4,0.7,0.552,0.231,0.636,0.548
Goga Bitadze,C,23,IND,21,3.3,2.3,0.9,0.4,0.5,0.519,0.286,0.605,0.458
Goga Bitadze,C,23,ORL,17,5.8,5.2,1.2,0.4,0.9,0.575,0.167,0.656,0.667
Bismack Biyombo,C,30,PHO,61,4.3,4.3,0.9,0.3,1.4,0.578,0,0.578,0.357
Buddy Boeheim,SF,23,DET,10,1.6,0.6,0.4,0.2,0,0.185,0.16,0.5,1
Bogdan Bogdanovi?,SG,30,ATL,54,14,3.1,2.8,0.8,0.3,0.447,0.406,0.506,0.831
Bojan Bogdanovi?,PF,33,DET,59,21.6,3.8,2.6,0.6,0.1,0.488,0.411,0.539,0.884
Bol Bol,PF,23,ORL,70,9.1,5.8,1,0.4,1.2,0.546,0.265,0.633,0.759
Leandro Bolmaro,SF,22,UTA,14,0.4,0.5,0.5,0.2,0.1,0.15,0,0.188,0
Devin Booker,SG,26,PHO,53,27.8,4.5,5.5,1,0.3,0.494,0.351,0.554,0.855
Brandon Boston Jr.,SF,21,LAC,22,6.5,1.4,0.9,0.4,0,0.418,0.414,0.419,0.763
Chris Boucher,PF,30,TOR,76,9.4,5.5,0.4,0.6,0.8,0.493,0.328,0.585,0.762
James Bouknight,SG,22,CHO,34,5.6,2.1,1.2,0.4,0.1,0.358,0.303,0.429,0.667
Jamaree Bouyea,PG,23,TOT,5,3,1.2,0.8,0.8,0.4,0.429,0.333,0.5,0.5
Jamaree Bouyea,PG,23,MIA,4,3.8,1.3,1,1,0.5,0.462,0.4,0.5,0.5
Jamaree Bouyea,PG,23,WAS,1,0,1,0,0,0,0,0,0,0
Tony Bradley,C,25,CHI,12,1.6,0.9,0.1,0.1,0.1,0.5,0.6,0.429,1
Malaki Branham,SG,19,SAS,66,10.2,2.7,1.9,0.5,0.1,0.44,0.302,0.539,0.829
Jarrell Brantley,PF,26,UTA,4,5.5,1.5,0.8,0,0.5,0.571,0.444,0.8,1
Christian Braun,SG,21,DEN,76,4.7,2.4,0.8,0.5,0.2,0.495,0.354,0.565,0.625
Mikal Bridges,SF-SG,26,TOT,83,20.1,4.4,3.3,1.1,0.7,0.468,0.382,0.514,0.895
Mikal Bridges,SF,26,PHO,56,17.2,4.3,3.6,1.2,0.8,0.463,0.387,0.503,0.897
Mikal Bridges,SG,26,BRK,27,26.1,4.5,2.7,1,0.6,0.475,0.376,0.531,0.894
Oshae Brissett,PF,24,IND,65,6.1,3.4,0.7,0.5,0.2,0.386,0.31,0.457,0.717
Malcolm Brogdon,PG,30,BOS,67,14.9,4.2,3.7,0.7,0.3,0.484,0.444,0.51,0.87
Dillon Brooks,SF,27,MEM,73,14.3,3.3,2.6,0.9,0.2,0.396,0.326,0.451,0.779
Bruce Brown,SF,26,DEN,80,11.5,4.1,3.4,1.1,0.6,0.483,0.358,0.548,0.758
Greg Brown III,PF,21,POR,16,1.8,1.2,0.2,0.3,0.3,0.393,0.143,0.476,0.417
Jaylen Brown,SF,26,BOS,67,26.6,6.9,3.5,1.1,0.4,0.491,0.335,0.576,0.765
Kendall Brown,SG,19,IND,6,1.5,1,0.5,0.7,0,0.571,0,0.667,0.5
Moses Brown,C,23,TOT,36,4.3,3.9,0.1,0.1,0.4,0.635,0,0.635,0.458
Moses Brown,C,23,LAC,34,4.6,4.1,0.1,0.1,0.4,0.635,0,0.635,0.458
Moses Brown,C,23,BRK,2,0,0,0,0.5,0,0,0,0,0
Sterling Brown,SF,27,LAL,4,0,2,0.5,0.8,0,0,0,0,0
Troy Brown Jr.,SF,23,LAL,76,7.1,4.1,1.3,0.8,0.2,0.43,0.381,0.505,0.872
Jalen Brunson,PG,26,NYK,68,24,3.5,6.2,0.9,0.2,0.491,0.416,0.519,0.829
Thomas Bryant,C,25,TOT,59,9.8,5.7,0.5,0.3,0.5,0.623,0.441,0.658,0.738
Thomas Bryant,C,25,LAL,41,12.1,6.8,0.7,0.3,0.6,0.654,0.44,0.697,0.741
Thomas Bryant,C,25,DEN,18,4.6,3.3,0.1,0.1,0.4,0.485,0.444,0.492,0.722
Reggie Bullock,SF,31,DAL,78,7.2,3.6,1.4,0.7,0.2,0.409,0.38,0.562,0.703
Alec Burks,SG,31,DET,51,12.8,3.1,2.2,0.7,0.2,0.436,0.414,0.459,0.814
Deonte Burton,PF,29,SAC,2,0,0,0,0,0,0,0,0,0
Jared Butler,PG,22,OKC,6,6.2,0.7,1.3,0.8,0,0.469,0.5,0.444,0
Jimmy Butler,PF,33,MIA,64,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.564,0.85
John Butler,C,20,POR,19,2.4,0.9,0.6,0.4,0.5,0.321,0.229,0.5,0.75
Jamal Cain,PF,23,MIA,18,5.4,2.9,0.7,0.6,0.1,0.561,0.35,0.652,0.773
Kentavious Caldwell-Pope,SG,29,DEN,76,10.8,2.7,2.4,1.5,0.5,0.462,0.423,0.502,0.824
Facundo Campazzo,PG,31,DAL,8,1.3,0.3,1.1,0.8,0,0.231,0.273,0,0.5
Vlatko Cancar,PF,25,DEN,60,5,2.1,1.3,0.4,0.2,0.476,0.374,0.58,0.927
Clint Capela,C,28,ATL,65,12,11,0.9,0.7,1.2,0.653,0,0.654,0.603
Vernon Carey Jr.,C,21,WAS,11,0.5,1,0.3,0.2,0.2,0.25,0,0.25,1
Jevon Carter,PG,27,MIL,81,8,2.5,2.4,0.8,0.4,0.423,0.421,0.425,0.816
Wendell Carter Jr.,C,23,ORL,57,15.2,8.7,2.3,0.5,0.6,0.525,0.356,0.624,0.738
Michael Carter-Williams,PG,31,ORL,4,4.3,1.3,1.8,0.3,0.3,0.429,0.333,0.455,0.571
Alex Caruso,PG,28,CHI,67,5.6,2.9,2.9,1.5,0.7,0.455,0.364,0.556,0.808
Julian Champagnie,SF,21,TOT,17,9.7,3.5,0.6,0.4,0.3,0.454,0.402,0.542,0.824
Julian Champagnie,SF,21,PHI,2,0,0,0,0.5,0,0,0,0,0
Julian Champagnie,SF,21,SAS,15,11,4,0.7,0.3,0.3,0.461,0.407,0.553,0.824
Justin Champagnie,SF,21,TOT,5,2.2,1.6,0.8,0.2,0,0.333,0.2,0.4,0
Justin Champagnie,SF,21,TOR,3,2,1.3,0.3,0,0,1,0,1,0
Justin Champagnie,SF,21,BOS,2,2.5,2,1.5,0.5,0,0.167,0.2,0.143,0
Kennedy Chandler,PG,20,MEM,36,2.2,1.1,1.6,0.3,0.1,0.422,0.133,0.485,0.462
Max Christie,SG,19,LAL,41,3.1,1.8,0.5,0.2,0.2,0.415,0.419,0.409,0.875
Josh Christopher,SG,21,HOU,64,5.8,1.1,1.1,0.5,0.2,0.465,0.236,0.55,0.75
Brandon Clarke,PF,26,MEM,56,10,5.5,1.3,0.6,0.7,0.656,0.167,0.665,0.723
Jordan Clarkson,SG,30,UTA,61,20.8,4,4.4,0.5,0.2,0.444,0.338,0.53,0.816
Nic Claxton,C,23,BRK,76,12.6,9.2,1.9,0.9,2.5,0.705,0,0.708,0.541
Amir Coffey,SF,25,LAC,50,3.4,1.1,1.1,0.1,0.1,0.386,0.275,0.429,0.778
John Collins,PF,25,ATL,71,13.1,6.5,1.2,0.6,1,0.508,0.292,0.619,0.803
Zach Collins,C,25,SAS,63,11.6,6.4,2.9,0.6,0.8,0.518,0.374,0.571,0.761
Chance Comanche,C,26,POR,1,7,3,0,0,1,0.6,0,0.6,0.25
Mike Conley,PG,35,TOT,67,11.9,2.7,6.7,1.1,0.2,0.428,0.385,0.486,0.834
Mike Conley,PG,35,UTA,43,10.7,2.5,7.7,1,0.2,0.408,0.362,0.469,0.813
Mike Conley,PG,35,MIN,24,14,3.1,5,1.2,0.2,0.46,0.42,0.515,0.863
Pat Connaughton,SF,30,MIL,61,7.6,4.6,1.3,0.6,0.2,0.392,0.339,0.566,0.659
Xavier Cooks,PF,27,WAS,10,3.8,3.8,0.6,0.6,0.4,0.607,0,0.63,0.4
Robert Covington,PF,32,LAC,48,6,3.5,1.2,0.8,0.7,0.445,0.397,0.516,0.75
Torrey Craig,PF,32,PHO,79,7.4,5.4,1.5,0.6,0.8,0.456,0.395,0.518,0.711
Jae Crowder,PF,32,MIL,18,6.9,3.8,1.5,0.7,0.3,0.479,0.436,0.538,0.833
Jarrett Culver,SF,23,ATL,10,4.4,3.8,0.6,0.6,0.2,0.395,0.083,0.516,0.692
Cade Cunningham,PG,21,DET,12,19.9,6.2,6,0.8,0.6,0.415,0.279,0.466,0.837
Seth Curry,SG,32,BRK,61,9.2,1.6,1.6,0.6,0.1,0.463,0.405,0.525,0.927
Stephen Curry,PG,34,GSW,56,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.579,0.915
Dyson Daniels,PG,19,NOP,59,3.8,3.2,2.3,0.7,0.2,0.418,0.314,0.492,0.65
Anthony Davis,C,29,LAL,56,25.9,12.5,2.6,1.1,2,0.563,0.257,0.589,0.784
Johnny Davis,SG,20,WAS,28,5.8,2.3,1,0.4,0.3,0.386,0.243,0.485,0.519
Terence Davis,SG,25,SAC,64,6.7,2.2,1,0.7,0.2,0.423,0.366,0.537,0.791
JD Davison,SG,20,BOS,12,1.6,0.8,0.9,0.2,0.2,0.421,0.286,0.5,0.5
Darius Days,SF,23,HOU,4,3.8,1.5,0.3,0,0.3,0.417,0.3,1,1
Dewayne Dedmon,C,33,TOT,38,5.2,3.5,0.7,0.2,0.5,0.51,0.308,0.58,0.673
Dewayne Dedmon,C,33,MIA,30,5.7,3.6,0.5,0.2,0.5,0.496,0.297,0.576,0.727
Dewayne Dedmon,C,33,PHI,8,3.5,3.1,1.3,0.3,0.6,0.591,0.5,0.6,0.2
Matthew Dellavedova,PG,32,SAC,32,1.5,0.4,1.3,0.2,0,0.34,0.333,0.348,0.571
DeMar DeRozan,SF,33,CHI,74,24.5,4.6,5.1,1.1,0.5,0.504,0.324,0.526,0.872
Moussa Diabate,C,21,LAC,22,2.7,2.3,0.2,0.3,0.4,0.511,0.5,0.511,0.625
Mamadi Diakite,C,26,CLE,22,2.6,1.4,0.4,0.2,0.4,0.48,0.333,0.586,1
Hamidou Diallo,SF,24,DET,56,9.3,3.5,1,0.9,0.3,0.573,0.238,0.593,0.588
Gorgui Dieng,C,33,SAS,31,3.9,3.5,1.7,0.1,0.5,0.385,0.28,0.571,0.769
Ousmane Dieng,PF,19,OKC,39,4.9,2.7,1.2,0.4,0.2,0.42,0.265,0.602,0.652
Spencer Dinwiddie,SG-PG,29,TOT,79,17.3,3.4,6.5,0.8,0.3,0.438,0.369,0.498,0.812
Spencer Dinwiddie,SG,29,DAL,53,17.7,3.1,5.3,0.7,0.3,0.455,0.405,0.504,0.821
Spencer Dinwiddie,PG,29,BRK,26,16.5,4.1,9.1,1.1,0.3,0.404,0.289,0.488,0.797
Donte DiVincenzo,SG,26,GSW,72,9.4,4.5,3.5,1.3,0.1,0.435,0.397,0.525,0.817
Luka Doncic,PG,23,DAL,66,32.4,8.6,8,1.4,0.5,0.496,0.342,0.588,0.742
Tyler Dorsey,SF,26,DAL,3,3,0.7,0,0,0,0.8,0.5,1,0
Luguentz Dort,SF,23,OKC,74,13.7,4.6,2.1,1,0.3,0.388,0.33,0.44,0.772
Ayo Dosunmu,SG,23,CHI,80,8.6,2.8,2.6,0.8,0.3,0.493,0.312,0.583,0.805
Devon Dotson,PG,23,WAS,6,0.5,1.7,1.3,0.8,0,0.1,0.25,0,0
Jeff Dowtin,PG,25,TOR,25,2.4,0.9,1.2,0.4,0.1,0.439,0.313,0.488,0.667
PJ Dozier,SF,26,SAC,16,1.4,0.9,0.6,0.4,0.1,0.303,0.125,0.471,0
Goran Dragic,PG,36,TOT,58,6.3,1.4,2.6,0.2,0.1,0.421,0.359,0.468,0.689
Goran Dragic,PG,36,CHI,51,6.4,1.4,2.7,0.2,0.1,0.425,0.352,0.48,0.659
Goran Dragic,PG,36,MIL,7,5.6,1.7,1.7,0.3,0,0.389,0.412,0.368,1
Andre Drummond,C,29,CHI,67,6,6.6,0.5,0.7,0.4,0.606,0,0.613,0.536
Chris Duarte,SF,25,IND,46,7.9,2.5,1.4,0.5,0.2,0.369,0.316,0.428,0.847
David Duke Jr.,SG,23,BRK,23,3.7,1.3,0.9,0.4,0,0.462,0.083,0.53,0.706
Kris Dunn,PG,28,UTA,22,13.2,4.5,5.6,1.1,0.5,0.537,0.472,0.55,0.774
Kevin Durant,PF,34,TOT,47,29.1,6.7,5,0.7,1.4,0.56,0.404,0.617,0.919
Kevin Durant,PF,34,BRK,39,29.7,6.7,5.3,0.8,1.5,0.559,0.376,0.622,0.934
Kevin Durant,PF,34,PHO,8,26,6.4,3.5,0.3,1.3,0.57,0.537,0.586,0.833
Jalen Duren,C,19,DET,67,9.1,8.9,1.1,0.7,0.9,0.648,0,0.652,0.611
Tari Eason,PF,21,HOU,82,9.3,6,1.1,1.2,0.6,0.448,0.343,0.486,0.752
Anthony Edwards,SG,21,MIN,79,24.6,5.8,4.4,1.6,0.7,0.459,0.369,0.513,0.756
Kessler Edwards,SF,22,TOT,36,2.8,1.7,0.6,0.4,0.2,0.387,0.309,0.5,0.733
Kessler Edwards,SF,22,BRK,14,1.1,1,0.1,0.2,0.1,0.25,0.167,0.333,0.5
Kessler Edwards,SF,22,SAC,22,3.9,2.1,1,0.5,0.2,0.435,0.349,0.577,0.769
Keon Ellis,SG,23,SAC,16,1.5,0.5,0.4,0.3,0.1,0.438,0.5,0.25,0.571
Joel Embiid,C,28,PHI,66,33.1,10.2,4.2,1,1.7,0.548,0.33,0.587,0.857
Drew Eubanks,C,25,POR,78,6.6,5.4,1.3,0.5,1.3,0.641,0.389,0.655,0.664
Bruno Fernando,C,24,TOT,39,3.9,3.5,0.8,0.2,0.9,0.527,0,0.546,0.7
Bruno Fernando,C,24,HOU,31,4.1,3.9,1,0.2,1,0.516,0,0.522,0.682
Bruno Fernando,C,24,ATL,8,3.4,1.9,0.1,0,0.4,0.579,0,0.688,0.833
Dorian Finney-Smith,PF,29,TOT,66,8.3,4.8,1.5,0.8,0.5,0.391,0.337,0.503,0.763
Dorian Finney-Smith,PF,29,DAL,40,9.1,4.7,1.5,1,0.5,0.416,0.355,0.559,0.75
Dorian Finney-Smith,PF,29,BRK,26,7.2,4.9,1.6,0.7,0.6,0.351,0.306,0.429,0.789
Malachi Flynn,PG,24,TOR,53,4.6,1.4,1.3,0.4,0.1,0.36,0.353,0.367,0.758
Simone Fontecchio,SF,27,UTA,52,6.3,1.7,0.8,0.3,0.2,0.369,0.33,0.43,0.795
Bryn Forbes,SG,29,MIN,25,3.6,0.6,0.7,0.3,0.1,0.361,0.304,0.432,1
Trent Forrest,SG,24,ATL,23,2.3,1.6,1.7,0.3,0.1,0.417,0,0.431,0.667
Michael Foster Jr.,PF,20,PHI,1,0,0,0,0,0,0,0,0,0
Evan Fournier,SG,30,NYK,27,6.1,1.8,1.3,0.6,0.1,0.337,0.307,0.404,0.857
De'Aaron Fox,PG,25,SAC,73,25,4.2,6.1,1.1,0.3,0.512,0.324,0.584,0.78
Markelle Fultz,PG,24,ORL,60,14,3.9,5.7,1.5,0.4,0.514,0.31,0.544,0.783
Wenyen Gabriel,C,25,LAL,68,5.5,4.2,0.5,0.4,0.5,0.596,0.278,0.647,0.619
Daniel Gafford,C,24,WAS,78,9,5.6,1.1,0.4,1.3,0.732,0,0.732,0.679
Darius Garland,PG,23,CLE,69,21.6,2.7,7.8,1.2,0.1,0.462,0.41,0.492,0.863
Usman Garuba,C,20,HOU,75,3,4.1,0.9,0.6,0.4,0.486,0.407,0.525,0.617
Luka Garza,C,24,MIN,28,6.5,2.3,0.6,0.1,0.1,0.543,0.359,0.636,0.788
Rudy Gay,PF,36,UTA,56,5.2,2.9,1,0.3,0.3,0.38,0.254,0.484,0.857
Paul George,SF,32,LAC,56,23.8,6.1,5.1,1.5,0.4,0.457,0.371,0.521,0.871
Taj Gibson,C,37,WAS,49,3.4,1.9,0.7,0.3,0.2,0.52,0.333,0.564,0.714
Josh Giddey,PF,20,OKC,76,16.6,7.9,6.2,0.8,0.4,0.482,0.325,0.524,0.731
Shai Gilgeous-Alexander,PG,24,OKC,68,31.4,4.8,5.5,1.6,1,0.51,0.345,0.533,0.905
Anthony Gill,PF,30,WAS,59,3.3,1.7,0.6,0.1,0.2,0.538,0.138,0.65,0.731
Jacob Gilyard,PG,24,MEM,1,3,4,7,3,0,0.333,0.333,0,0
Rudy Gobert,C,30,MIN,70,13.4,11.6,1.2,0.8,1.4,0.659,0,0.663,0.644
Jordan Goodwin,PG,24,WAS,62,6.6,3.3,2.7,0.9,0.4,0.448,0.322,0.511,0.768
Aaron Gordon,PF,27,DEN,68,16.3,6.6,3,0.8,0.8,0.564,0.347,0.628,0.608
Eric Gordon,SG,34,TOT,69,12.4,1.9,2.7,0.6,0.4,0.446,0.371,0.535,0.821
Eric Gordon,SG,34,HOU,47,13.1,2.1,2.9,0.6,0.4,0.439,0.347,0.536,0.815
Eric Gordon,SG,34,LAC,22,11,1.7,2.1,0.6,0.4,0.463,0.423,0.531,0.842
Devonte' Graham,PG,27,TOT,73,7.4,1.7,2.7,0.6,0.2,0.374,0.352,0.452,0.748
Devonte' Graham,PG,27,NOP,53,5.3,1.4,2.2,0.6,0.2,0.368,0.347,0.463,0.746
Devonte' Graham,PG,27,SAS,20,13,2.5,4,0.8,0.3,0.38,0.358,0.442,0.75
Jerami Grant,PF,28,POR,63,20.5,4.5,2.4,0.8,0.8,0.475,0.401,0.523,0.813
RaiQuan Gray,PF,23,BRK,1,16,9,7,0,1,0.5,0.4,0.571,1
A.J. Green,SG,23,MIL,35,4.4,1.3,0.6,0.2,0,0.424,0.419,0.45,1
Danny Green,SG,35,TOT,11,5.5,1.3,0.5,0.5,0.3,0.449,0.432,0.5,1
